card_id,set_code,number,name,stage,evolves_from,hp,type,weakness_type,weakness_value,resistance_type,resistance_value,retreat_cost,rarity,dex_number,power_type,power_name,power_text,attack1_name,attack1_cost,attack1_damage,attack1_text,attack2_name,attack2_cost,attack2_damage,attack2_text,attack3_name,attack3_cost,attack3_damage,attack3_text,artist,flavor_text
gym1-3,gym1,3,Erika's Clefable,Stage 1,Erika's Clefairy,70,C,F,x2,P,-30,2,Rare Holo,36,,,,Fairy Power,C,,"Flip a coin. If heads, you may return any number of your Pokémon in play and all cards attached to them to your hand.",Moon Impact,CCC,30,,,,,,Atsuko Nishida,
gym1-4,gym1,4,Erika's Dragonair,Stage 1,Erika's Dratini,80,C,,,P,-30,2,Rare Holo,148,,,,Blizzard,CCC,30,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Take Away,CCCC,,"Shuffle Erika's Dragonair and all cards attached to it into your deck. Then, your opponent shuffles his or her Active Pokémon and all cards attached to it into his or her deck.",,,,,Atsuko Nishida,
gym1-5,gym1,5,Erika's Vileplume,Stage 2,Erika's Gloom,80,G,R,x2,,,2,Rare Holo,45,Pokémon Power,Pollen Defense,"If an attack does damage to Erika's Vileplume while it's your Active Pokémon (even if it's Knocked Out), flip a coin. If heads, your opponent's Active Pokémon is now Confused. This power works even while Erika's Vileplume is Asleep, Confused, or Paralyzed.",Mega Drain,GGG,30,"If Erika's Vileplume does damage to the Defending Pokémon (after applying Weakness and Resistance), remove a number of damage counters from Erika's Vileplume equal to half the damage done to the Defending Pokémon (rounded up to the nearest 10). If Erika's Vileplume has fewer damage counters than that, remove all of them.",,,,,,,,,Ken Sugimori,
gym1-6,gym1,6,Lt. Surge's Electabuzz,Basic,,70,L,F,x2,,,2,Rare Holo,125,,,,Charge,L,,Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz.,Discharge,L,30×,Discard all Lightning Energy cards attached to Lt. Surge's Electabuzz in order to use this attack. Flip a number of coins equal to the number of Lightning Energy cards you discarded. This attack does 30 damage times the number of heads.,,,,,Ken Sugimori,
gym1-7,gym1,7,Lt. Surge's Fearow,Stage 1,Lt. Surge's Spearow,70,C,L,x2,F,-30,0,Rare Holo,22,,,,Repeating Drill,CC,10×,Flip 5 coins. This attack does 10 damage times the number of heads.,Clutch,CCC,30,The Defending Pokémon can't retreat during your opponent's next turn.,,,,,Ken Sugimori,
gym1-8,gym1,8,Lt. Surge's Magneton,Stage 1,Lt. Surge's Magnemite,70,L,F,x2,,,2,Rare Holo,82,Pokémon Power,Energy Charge,"As often as you like during your turn (before your attack), if Lt. Surge's Magneton is your Active Pokémon, you may take 1 Lightning Energy card attached to 1 of your Pokémon and attach it to Lt. Surge's Magneton. This power can't be used if Lt. Surge's Magneton is Asleep, Confused, or Paralyzed.",Mega Shock,LLLC,50,"Flip a coin. If tails, Lt. Surge's Magneton does 20 damage to itself.",,,,,,,,,Ken Sugimori,
gym1-9,gym1,9,Misty's Seadra,Stage 1,Misty's Horsea,70,W,L,x2,,,1,Rare Holo,117,,,,Tail Snap,W,20,,Knockout Needle,WWW,30+,"Flip 2 coins. If both of them are heads, this attack does 30 damage plus 60 more damage. If 1 or both of them are tails, this attack does 30 damage.",,,,,Atsuko Nishida,
gym1-10,gym1,10,Misty's Tentacruel,Stage 1,Misty's Tentacool,70,W,L,x2,,,0,Rare Holo,73,Pokémon Power,Flee,"If an attack does damage to Misty's Tentacruel while it's your Active Pokémon, you may switch it with 1 of your Benched Pokémon, which prevents all other effects of that attack on Misty's Tentacruel. This power can't be used if Misty's Tentacruel is already Asleep, Confused, or Paralyzed.",Jellyfish Poison,WWCC,30,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. If tails, the Defending Pokémon is now Confused.",,,,,,,,,Ken Sugimori,
gym1-11,gym1,11,Rocket's Hitmonchan,Basic,,60,F,P,x2,,,1,Rare Holo,107,,,,Crosscounter,F,,"If an attack does damage to Rocket's Hitmonchan during your opponent's next turn (even if Rocket's Hitmonchan is Knocked Out), flip a coin. If heads, Rocket's Hitmonchan attacks your opponent's Active Pokémon for double that amount of damage. (If Rocket's Hitmonchan takes 20 damage, it does 40 damage to that Pokémon.)",Magnum Punch,FFC,50,,,,,,Ken Sugimori,
gym1-12,gym1,12,Rocket's Moltres,Basic,,60,R,,,F,-30,2,Rare Holo,146,Pokémon Power,Rebirth,"When Rocket's Moltres is Knocked Out, you may return it to your hand after discarding it. This power can't be used if Rocket's Moltres is Asleep, Confused, or Paralyzed when it is Knocked Out.",Fire Wall,RRR,40,"If an attack does damage to Rocket's Moltres during your opponent's next turn (even if Rocket's Moltres is Knocked Out), Rocket's Moltres attacks your opponent's Active Pokémon for 10 damage. (Apply Weakness and Resistance.)",,,,,,,,,Ken Sugimori,
gym1-13,gym1,13,Rocket's Scyther,Basic,,60,G,R,x2,F,-30,1,Rare Holo,123,,,,Shadow Images,G,,"Whenever Rocket's Scyther is attacked, your opponent flips a coin. If tails, that attack does no damage to Rocket's Scyther. (Any other effects of the attack still happen.) This effect lasts until Rocket's Scyther takes damage (or is Benched or is evolved).",Blinding Scythe,GCC,40,,,,,,Ken Sugimori,
gym1-14,gym1,14,Sabrina's Gengar,Stage 2,Sabrina's Haunter,80,P,,,F,-30,1,Rare Holo,94,,,,Pain Amplifier,P,,Put a damage counter on each of your opponent's Pokémon has already has any damage counters on it.,Call of the Night,PPP,40,"Unless this attack Knocks Out the Defending Pokémon, flip 2 coins. If both of them are heads, your opponent shuffles his or her Active Pokémon and all cards attached to it into his or her deck.",,,,,Ken Sugimori,
gym1-20,gym1,20,Brock's Golem,Stage 2,Brock's Graveler,90,F,G,x2,,,4,Rare,76,,,,Rock Slide,FFC,20,"If your opponent has any Benched Pokémon, choose up to 3 of them. This attack does 10 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fissure,FFCC,50,,,,,,Ken Sugimori,
gym1-21,gym1,21,Brock's Onix,Basic,,70,F,G,x2,,,2,Rare,95,,,,Bind,FF,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Tunneling,FFF,,"If your opponent has any Benched Pokémon, choose up to 2 of them. This attack does 20 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Brock's Onix can't attack during your next turn.",,,,,Benimaru Itoh,
gym1-22,gym1,22,Brock's Rhyhorn,Basic,,60,F,G,x2,L,-30,2,Rare,111,,,,Horn Toss,CC,20,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Take Down,FFC,40,Brock's Rhyhorn does 10 damage to itself.,,,,,Ken Sugimori,
gym1-23,gym1,23,Brock's Sandslash,Stage 1,Brock's Sandshrew,60,F,G,x2,L,-30,1,Rare,28,,,,Needles,FF,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and Poisoned.",Sandstorm,FF,20,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,,,,Ken Sugimori,
gym1-24,gym1,24,Brock's Zubat,Basic,,30,G,P,x2,F,-30,0,Rare,41,,,,Alert,C,,"Draw a card. Then, switch Brock's Zubat with 1 of your Benched Pokémon. You can't use this attack if your Bench is empty.",Wing Attack,CC,20,,,,,,Ken Sugimori,
gym1-25,gym1,25,Erika's Clefairy,Basic,,50,C,F,x2,P,-30,1,Rare,35,,,,Moonwatching,C,,"Search your deck for a basic Energy card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.",Comet Slap,CC,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,,,,,Ken Sugimori,
gym1-26,gym1,26,Erika's Victreebel,Stage 2,Erika's Weepinbell,80,G,R,x2,,,2,Rare,71,Pokémon Power,Fragrance Trap,"Once during your turn (before your attack), you may flip a coin. If heads, and if your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon. This power can't be used if Erika's Victreebel is Asleep, Confused, or Paralyzed.",Razor Leaf,GGG,50,,,,,,,,,,Ken Sugimori,
gym1-27,gym1,27,Lt. Surge's Electabuzz,Basic,,60,L,F,x2,,,2,Rare,125,,,,Charge,L,,Take up to 2 Lightning Energy cards from your discard pile and attach them to Lt. Surge's Electabuzz.,Electric Current,LL,20,"Take 1 Lightning Energy card attached to Lt. Surge's Electabuzz and attach it to 1 of your Benched Pokémon. If you have no Benched Pokémon, discard that Energy card.",,,,,Ken Sugimori,
gym1-28,gym1,28,Lt. Surge's Raichu,Stage 1,Lt. Surge's Pikachu,70,L,F,x2,,,2,Rare,26,,,,Mega Punch,LL,30,,Thunderbolt,LLLL,100,Discard all Energy cards attached to Lt. Surge's Raichu in order to use this attack.,,,,,Ken Sugimori,
gym1-29,gym1,29,Misty's Cloyster,Stage 1,Misty's Shellder,70,W,L,x2,,,2,Rare,91,Pokémon Power,Shell Armor,"You may reduce all damage done by attacks to Misty's Cloyster by 10 (after applying Weakness and Resistance). (Any other effects of attacks still happen). This power can't be used if Misty's Cloyster is Asleep, Confused, or Paralyzed.",Triple Cannon,WWC,20×,Flip 3 coins. This attack does 20 damage times the number of heads.,,,,,,,,,Ken Sugimori,
gym1-30,gym1,30,Misty's Goldeen,Basic,,30,W,L,x2,,,0,Rare,118,,,,Horn Hazard,W,30,"Flip a coin. If tails, this attack does nothing.",,,,,,,,,Ken Sugimori,
gym1-31,gym1,31,Misty's Poliwrath,Stage 2,Misty's Poliwhirl,90,W,G,x2,,,3,Rare,62,,,,Water Ring,WWCC,30,Does 10 damage to each Pokémon that isn't Water on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,,,,,,Ken Sugimori,
gym1-32,gym1,32,Misty's Tentacool,Basic,,40,W,L,x2,,,0,Rare,72,,,,Mysterious Light,C,,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",Jellyfish Pod,WC,,"Search your deck for any number of Pokémon named Tentacool, Tentacruel, Misty's Tentacool, and/or Misty's Tentacruel. Show those cards to your opponent, then put them into your hand. Shuffle your deck afterward.",,,,,Ken Sugimori,
gym1-33,gym1,33,Rocket's Snorlax,Basic,,90,C,F,x2,P,-30,4,Rare,143,Pokémon Power,Restless Sleep,"If your opponent's attack does damage to Rocket's Snorlax and Rocket's Snorlax is already Asleep (even if it's Knocked Out), this power does 20 damage to the attacking Pokémon.",Collapse,CCC,20,Rocket's Snorlax is now Asleep (after doing damage).,,,,,,,,,Shin-ichi Yoshida,
gym1-34,gym1,34,Sabrina's Venomoth,Stage 1,Sabrina's Venonat,60,G,R,x2,F,-30,0,Rare,49,,,,Healing Pollen,G,,"Flip 3 coins. For each heads, remove 1 damage counter from each of your Pokémon. If a Pokémon has fewer damage counters than the number of heads, remove all of them.",Sonic Distortion,P,10,"Flip 2 coins. If 1 or both of them are heads, the Defending Pokémon is now Confused.",,,,,Ken Sugimori,
gym1-35,gym1,35,Blaine's Growlithe,Basic,,50,R,W,x2,,,1,Uncommon,58,,,,Shake,C,10,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Fire Tackle,RC,30,Blaine's Growlithe does 10 damage to itself.,,,,,Ken Sugimori,
gym1-36,gym1,36,Blaine's Kangaskhan,Basic,,80,C,F,x2,P,-30,3,Uncommon,115,,,,Child's Punch,C,10,"Flip a coin. If tails, this attack does nothing.",One-Two Punch,CCC,30+,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",,,,,Ken Sugimori,
gym1-37,gym1,37,Blaine's Magmar,Basic,,60,R,W,x2,,,2,Uncommon,126,,,,Firebreathing,R,10+,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.",Lava Burst,RRR,20×,"Discard the top 5 cards of your deck. (If there are fewer than 5 cards in your deck, discard all of them.) This attack does 20 damage for each Fire Energy card you discarded in this way.",,,,,Ken Sugimori,
gym1-38,gym1,38,Brock's Geodude,Basic,,50,F,G,x2,,,1,Uncommon,74,,,,Tackle,C,10,,Lucky Shot,FC,,"Choose 1 of your opponent's Benched Pokémon and flip a coin. If heads, this attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) This attack can't be used if your opponent has no Benched Pokémon.",,,,,Atsuko Nishida,
gym1-39,gym1,39,Brock's Golbat,Stage 1,Brock's Zubat,70,G,P,x2,F,-30,1,Uncommon,42,,,,Dive,C,20,,Spiral Dive,CCC,,Does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance.,,,,,Ken Sugimori,
gym1-40,gym1,40,Brock's Graveler,Stage 1,Brock's Geodude,70,F,G,x2,,,2,Uncommon,75,,,,Rock Toss,FCC,20×,Flip 3 coins. This attack does 20 damage times the number of heads.,,,,,,,,,Ken Sugimori,
gym1-41,gym1,41,Brock's Lickitung,Basic,,80,C,F,x2,P,-30,3,Uncommon,108,,,,Tongue Slap,CC,20,,Slam,CCC,30×,Flip 2 coins. This attack does 30 damage times the number of heads.,,,,,Ken Sugimori,
gym1-42,gym1,42,Erika's Dratini,Basic,,40,C,,,P,-30,1,Uncommon,147,Pokémon Power,Strange Barrier,"Whenever an attack by a Basic Pokémon (including your own) does 20 or more damage to Erika's Dratini (after applying Weakness and Resistance), reduce that damage to 10. (Any other effects of attacks still happen.) This power stops working while Erika's Dratini is Asleep, Confused, or Paralyzed.",Tail Strike,CC,10+,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",,,,,,,,,Ken Sugimori,
gym1-43,gym1,43,Erika's Exeggcute,Basic,,50,G,R,x2,,,1,Uncommon,102,,,,Deflector,P,,"During your opponent's next turn, whenever Erika's Exeggcute takes damage, divide that damage in half (rounded down to the nearest 10). (Any other effects still happen.)",Egg Bomb,GC,40,"Flip a coin. If tails, this attack does nothing to the Defending Pokémon and Erika's Exeggcute does 20 damage to itself.",,,,,Atsuko Nishida,
gym1-44,gym1,44,Erika's Exeggutor,Stage 1,Erika's Exeggcute,70,G,R,x2,,,2,Uncommon,103,,,,Psychic Exchange,P,,"Shuffle your hand into your deck, then draw 5 cards.",Stomp,GCC,30+,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage.",,,,,Ken Sugimori,
gym1-45,gym1,45,Erika's Gloom,Stage 1,Erika's Oddish,60,G,R,x2,,,1,Uncommon,44,,,,Healing Pollen,G,,"Flip a coin. If heads, remove 4 damage counters from Erika's Gloom. If Erika's Gloom has fewer damage counters than that, remove all of them.",Magic Pollen,GGG,30,"Flip a coin. If heads, the Defending Pokémon is now Asleep, Confused, Paralyzed, or Poisoned (your choice).",,,,,Ken Sugimori,
gym1-46,gym1,46,Erika's Gloom,Stage 1,Erika's Oddish,70,G,R,x2,,,1,Uncommon,44,,,,Dream Dance,GC,10,Both the Defending Pokémon and Erika's Gloom are now Asleep (after doing damage).,Vile Smell,GGC,30,Both the Defending Pokémon and Erika's Gloom are now Confused (after doing damage).,,,,,Ken Sugimori,
gym1-47,gym1,47,Erika's Oddish,Basic,,40,G,R,x2,,,1,Uncommon,43,Pokémon Power,Photosynthesis,"All Energy cards attached to Erika's Oddish provide Grass Energy instead of their usual type. This power works even while Erika's Oddish is Asleep, Confused, or Paralyzed.",Poisonpowder,GG,20,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,,,,,Atsuko Nishida,
gym1-48,gym1,48,Erika's Weepinbell,Stage 1,Erika's Bellsprout,60,G,R,x2,,,1,Uncommon,70,,,,Drool,G,10,,Flytrap,GG,20,"Before doing damage, choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon. This attack can't be used if your opponent has no Benched Pokémon.",,,,,Atsuko Nishida,
gym1-49,gym1,49,Erika's Weepinbell,Stage 1,Erika's Bellsprout,70,G,R,x2,,,2,Uncommon,70,,,,Sleep Poison,GC,,The Defending Pokémon is now Asleep and Poisoned.,Vine Whip,GGC,40,,,,,,Ken Sugimori,
gym1-50,gym1,50,Lt. Surge's Magnemite,Basic,,30,L,F,x2,,,0,Uncommon,81,,,,Removal Pulse,L,10,"If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it.",Confusion Pulse,LL,20,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,Atsuko Nishida,
gym1-51,gym1,51,Lt. Surge's Raticate,Stage 1,Lt. Surge's Rattata,70,C,F,x2,P,-30,1,Uncommon,20,,,,Super Fang,C,?,Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).,,,,,,,,,Ken Sugimori,
gym1-52,gym1,52,Lt. Surge's Spearow,Basic,,30,C,L,x2,F,-30,0,Uncommon,21,,,,Drill Peck,C,20,,,,,,,,,,Ken Sugimori,
gym1-53,gym1,53,Misty's Poliwhirl,Stage 1,Misty's Poliwag,70,W,G,x2,,,2,Uncommon,61,,,,Rapids,WC,20,"If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those Energy cards and discard it.",Water Punch,CCC,30+,Flip a number of coins equal to the number of Water Energy attached to Misty's Poliwhirl. This attack does 30 damage plus 10 damage for each heads.,,,,,Ken Sugimori,
gym1-54,gym1,54,Misty's Psyduck,Basic,,50,W,G,x2,,,1,Uncommon,54,,,,Scratch,C,10,,Call for Friend,W,,"Flip a coin. If heads, you may search your deck for a Basic Pokémon with Misty in its name and put it onto your Bench. (You can't use this attack if your Bench is full.) Shuffle your deck afterward.",,,,,Atsuko Nishida,
gym1-55,gym1,55,Misty's Seaking,Stage 1,Misty's Goldeen,70,W,L,x2,,,1,Uncommon,119,,,,Horn Attack,W,10,,Mud Splash,WW,30,"If your opponent has any Benched Pokémon, choose 1 of them and flip a coin. If heads, this attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",,,,,Ken Sugimori,
gym1-56,gym1,56,Misty's Starmie,Stage 1,Misty's Staryu,80,W,L,x2,,,2,Uncommon,121,,,,Water Gun,W,10+,Does 10 damage plus 10 more damage for each Water Energy attached to Misty's Starmie but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,Bubblebeam,WWW,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Ken Sugimori,
gym1-57,gym1,57,Misty's Tentacool,Basic,,50,W,L,x2,,,1,Uncommon,72,,,,Crystal Beam,WC,20,"Flip a coin. If heads, your opponent can't attach Energy cards to the Defending Pokémon during his or her next turn.",,,,,,,,,Ken Sugimori,
gym1-58,gym1,58,Sabrina's Haunter,Stage 1,Sabrina's Gastly,50,P,,,F,-30,0,Uncommon,93,,,,Night Spirits,PP,30×,"Flip a number of coins equal to the total number of Sabrina's Gastlys, Sabrina's Haunters, and Sabrina's Gengars you have in play. This attack does 30 damage times the number of heads.",,,,,,,,,Atsuko Nishida,
gym1-59,gym1,59,Sabrina's Jynx,Basic,,60,P,P,x2,,,1,Uncommon,124,,,,Good Night,P,10,The Defending Pokémon is now Asleep.,Good Morning,PC,20,"If the Defending Pokémon was Asleep, it is no longer Asleep.",,,,,Ken Sugimori,
gym1-60,gym1,60,Sabrina's Slowbro,Stage 1,Sabrina's Slowpoke,70,P,P,x2,,,2,Uncommon,80,,,,Naptime,P,,"Flip a coin. If heads, remove 3 damage counters from Sabrina's Slowbro and Sabrina's Slowbro is now Asleep. If Sabrina's Slowbro has fewer damage counters than that, remove all of them.",Screaming Headbutt,PCC,40,You can't use this attack during your next turn.,,,,,Ken Sugimori,
gym1-61,gym1,61,Blaine's Charmander,Basic,,50,R,W,x2,,,1,Common,4,,,,Kindle,R,10,"Discard 1 Energy card attached to Blaine's Charmander in order to use this attack. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",Slash,CC,20,,,,,,Ken Sugimori,
gym1-62,gym1,62,Blaine's Growlithe,Basic,,50,R,W,x2,,,1,Common,58,,,,Blaze,RR,20,Does 10 damage to each Grass Pokémon on your opponent's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.),,,,,,,,,Atsuko Nishida,
gym1-63,gym1,63,Blaine's Ponyta,Basic,,40,R,W,x2,,,0,Common,77,,,,Agility,RC,20,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Blaine's Ponyta.",,,,,,,,,Ken Sugimori,
gym1-64,gym1,64,Blaine's Tauros,Basic,,70,C,F,x2,P,-30,2,Common,128,,,,3-Pronged Tail,C,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,Full Speed Charge,CCC,20×,Flip 4 coins. This attack does 20 damage times the number of heads to the Defending Pokémon and 20 damage times the number of tails to Blaine's Tauros.,,,,,Ken Sugimori,
gym1-65,gym1,65,Blaine's Vulpix,Basic,,40,R,W,x2,,,1,Common,37,Pokémon Power,Natural Healing,"Once during your turn (before your attack), you may remove 1 damage counter from Blaine's Vulpix. This power can't be used if Blaine's Vulpix is Asleep, Confused, or Paralyzed.",Tail Fan,RCC,20,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,,,,,Ken Sugimori,
gym1-66,gym1,66,Brock's Geodude,Basic,,40,F,G,x2,,,1,Common,74,,,,Call for Friend,F,,"Flip a coin. If heads, you may search your deck for a Basic Pokémon card with Brock in its name and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.)",Hook Shot,FC,20,Don't apply Resistance for this attack. (Any other effects that would happen after applying Resistance still happen.),,,,,Ken Sugimori,
gym1-67,gym1,67,Brock's Mankey,Basic,,40,F,P,x2,,,0,Common,56,,,,Taunt,C,,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with the Defending Pokémon.",Light Kick,F,10,,,,,,Atsuko Nishida,
gym1-68,gym1,68,Brock's Mankey,Basic,,40,F,P,x2,,,0,Common,56,,,,Fidget,C,,Shuffle your deck.,Karate Chop,FC,40-,Does 40 damage minus 10 damage for each damage counter on Brock's Mankey.,,,,,Ken Sugimori,
gym1-69,gym1,69,Brock's Onix,Basic,,100,F,G,x2,,,3,Common,95,,,,Bellow,C,,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Rock Throw,FFC,30,,,,,,Ken Sugimori,
gym1-70,gym1,70,Brock's Rhyhorn,Basic,,70,F,G,x2,L,-30,3,Common,111,,,,Drill Tackle,FC,70,"Flip 2 coins. If 1 or both of them are tails, this attack does nothing.",,,,,,,,,Ken Sugimori,
gym1-71,gym1,71,Brock's Sandshrew,Basic,,40,F,G,x2,L,-30,1,Common,27,,,,Defense Curl,C,,"Flip a coin. If heads, prevent all damage done to Brock's Sandshrew during your opponent's next turn. (Any other effects of attacks still happen.)",Rolling Attack,FC,20,,,,,,Ken Sugimori,
gym1-72,gym1,72,Brock's Sandshrew,Basic,,50,F,G,x2,L,-30,1,Common,27,,,,Sand Pit,FF,20,The Defending Pokémon can't retreat during your opponent's next turn.,,,,,,,,,Ken Sugimori,
gym1-73,gym1,73,Brock's Vulpix,Basic,,40,R,W,x2,,,1,Common,37,,,,Flame,R,20,,Quick Attack,CC,10+,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",,,,,Ken Sugimori,
gym1-74,gym1,74,Brock's Zubat,Basic,,40,G,P,x2,F,-30,0,Common,41,,,,Wing Attack,C,10,,Poison Fang,GC,20,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",,,,,Atsuko Nishida,
gym1-75,gym1,75,Erika's Bellsprout,Basic,,40,G,R,x2,,,1,Common,69,,,,Poison Vine,G,10,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",Vine Whip,GG,30,,,,,,Atsuko Nishida,
gym1-76,gym1,76,Erika's Bellsprout,Basic,,50,G,R,x2,,,1,Common,69,,,,Careless Tackle,C,20,Erika's Bellsprout does 10 damage to itself.,,,,,,,,,Ken Sugimori,
gym1-77,gym1,77,Erika's Exeggcute,Basic,,40,G,R,x2,,,1,Common,102,,,,Eggsplosion,C,10×,Flip a number of coins equal to the number of Energy attached to Erika's Exeggcute. This attack does 10 damage times the number of heads.,Psychic,PC,10+,Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.,,,,,Ken Sugimori,
gym1-78,gym1,78,Erika's Oddish,Basic,,50,G,R,x2,,,1,Common,43,,,,Blot,G,10,"If there are any damage counters on Erika's Oddish, remove 1 of them.",Sporadic Sponging,GC,20,"If Erika's Oddish has any damage counters on it, flip a coin. If heads, remove 1 of those damage counters.",,,,,Ken Sugimori,
gym1-79,gym1,79,Erika's Tangela,Basic,,60,G,R,x2,,,2,Common,114,,,,Vine Slap,G,10,,Stretch Vine,GGC,,"If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",,,,,Ken Sugimori,
gym1-80,gym1,80,Lt. Surge's Magnemite,Basic,,40,L,F,x2,,,1,Common,81,,,,Thundershock,L,10,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Tackle,CC,20,,,,,,Ken Sugimori,
gym1-81,gym1,81,Lt. Surge's Pikachu,Basic,,50,L,F,x2,,,1,Common,25,,,,Charge,C,,Take 1 Lightning Energy card from your discard pile and attach it to Lt. Surge's Pikachu.,Lightning Tail,LL,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Ken Sugimori,
gym1-82,gym1,82,Lt. Surge's Rattata,Basic,,40,C,F,x2,P,-30,1,Common,19,,,,Focus Energy,C,,"During your next turn, Lt. Surge's Rattata's Gnaw attack's base damage is doubled.",Gnaw,CC,20,,,,,,Ken Sugimori,
gym1-83,gym1,83,Lt. Surge's Spearow,Basic,,50,C,L,x2,F,-30,0,Common,21,,,,Whirlwind,C,10,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",Razor Wind,CC,40,"Flip a coin. If tails, this attack does nothing.",,,,,Atsuko Nishida,
gym1-84,gym1,84,Lt. Surge's Voltorb,Basic,,40,L,F,x2,,,1,Common,100,,,,Spin Ball,L,20×,Flip 1 coin. This attack does 20 damage times the number of heads.,Double Spin,LC,20×,Flip 2 coins. This attack does 20 damage times the number of heads.,,,,,Ken Sugimori,
gym1-85,gym1,85,Misty's Goldeen,Basic,,40,W,L,x2,,,1,Common,118,,,,Fury Attack,C,10×,Flip 2 coins. This attack does 10 damage times the number of heads.,Supersonic,W,,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,Atsuko Nishida,
gym1-86,gym1,86,Misty's Horsea,Basic,,40,W,L,x2,,,0,Common,116,,,,Tackle,W,10,,Smokescreen,WW,20,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",,,,,Ken Sugimori,
gym1-87,gym1,87,Misty's Poliwag,Basic,,50,W,G,x2,,,1,Common,60,,,,Hypnotic Stare,W,,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, the Defending Pokémon is now Asleep.",Tail Rap,WC,20×,Flip 2 coins. This attack does 20 damage times the number of heads.,,,,,Ken Sugimori,
gym1-88,gym1,88,Misty's Seel,Basic,,60,W,L,x2,,,1,Common,86,,,,Aurora Beam,WC,20,,,,,,,,,,Atsuko Nishida,
gym1-89,gym1,89,Misty's Shellder,Basic,,40,W,L,x2,,,1,Common,90,,,,Tackle,C,10,,Clamp,WC,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, this attack does nothing (not even damage).",,,,,Ken Sugimori,
gym1-90,gym1,90,Misty's Staryu,Basic,,50,W,L,x2,,,1,Common,120,,,,Swift,WC,20,"This attack's damage isn't affected by Weakness, Resistance, Pokémon Powers, or any other effects on the Defending Pokémon.",,,,,,,,,Ken Sugimori,
